FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
8,1414.9,18.09232,2.237062,4.399795,8.99947,97.83113547169856,0.8778184551899955,18.1125,4.39125,2.295,9.135,18.075,48.0
8,1417.1,18.14528,2.484199,4.399246,10.0001,97.5961158645641,1.0835865061199996,18.16875,4.39125,2.55,10.18125,18.125,50.5
8,1417.4,18.2012,2.7312,4.399285,11.0001,97.34759027879137,1.3185425114999987,18.212500000000002,4.39,2.803125,11.174999999999999,18.181250000000002,53.5
8,1420.3,18.25745,2.978375,4.399277,12.0,97.0829705456812,1.5862086437500054,18.275000000000002,4.39,3.06,12.195,18.243750000000002,56.5
8,1421.9,18.31676,3.225367,4.399825,13.0003,96.81908728875935,1.8792283034199997,18.337500000000002,4.39125,3.316875,13.237499999999999,18.306250000000002,60.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
9,1485.8,17.66135,0.2610539,4.400159,0.999283,95.36802445379965,0.2135602107679988,17.675,4.39,0.24562499999999998,0.97125,17.64375,40.5
9,1485.2,17.71074,0.5081896,4.399457,1.99901,97.71282363718883,0.2058553387340023,17.73125,4.39,0.50625,1.99125,17.6875,40.5
9,1483.8,17.76282,0.7554597,4.399441,2.99913,98.32627172268434,0.22459918202399898,17.78125,4.39,0.759375,3.01125,17.743750000000002,40.5
9,1484.0,17.81558,1.002521,4.399541,3.99951,98.51916265062175,0.26448485226999807,17.837500000000002,4.39125,1.0162499999999999,4.035,17.8,41.0
9,1486.1,17.86774,1.249663,4.399493,4.99989,98.51458792718444,0.33167251585000557,17.8875,4.39,1.273125,5.05125,17.85,42.0
9,1485.1,17.92096,1.49693,4.399659,5.99962,98.39657889243347,0.43014052322000396,17.9375,4.39,1.528125,6.075,17.900000000000002,43.0
9,1487.0,17.97322,1.743915,4.399525,6.99962,98.24920610513357,0.5487647758000023,17.993750000000002,4.39125,1.7831249999999998,7.095,17.95625,44.5
9,1489.1,18.02588,1.990797,4.399436,7.9996,98.07127528834181,0.6921396007600009,18.05,4.39,2.04,8.11125,18.0125,46.0
9,1489.8,18.07894,2.238196,4.39935,8.99947,97.84403841805943,0.872392847739988,18.1,4.39,2.296875,9.108749999999999,18.0625,48.0
9,1489.8,18.13484,2.485154,4.399819,10.0001,97.62748898597421,1.0692401834600105,18.150000000000002,4.39,2.551875,10.147499999999999,18.1125,50.5
9,1493.5,18.18779,2.732094,4.399456,11.0001,97.3912731519395,1.296295986660006,18.2,4.39125,2.8049999999999997,11.19,18.175,53.5
9,1494.2,18.24366,2.979244,4.399628,11.9998,97.13414501240128,1.5576585186399896,18.2625,4.39,3.0637499999999998,12.209999999999999,18.225,56.5
9,1494.5,18.29985,3.226217,4.399695,13.0002,96.87941315547293,1.842372228449996,18.31875,4.39125,3.316875,13.21125,18.28125,60.0

