FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
7,889.0469,17.66121,0.2629569,4.400811,0.99942,94.70561483128532,0.24587850222899998,17.70625,4.39625,0.238125,1.0574999999999999,17.66875,38.5
7,889.6006,17.70349,0.5094124,4.399329,1.99915,97.52218441558666,0.2234587589260002,17.743750000000002,4.3950000000000005,0.481875,2.05125,17.70625,38.0
7,889.3632,17.75215,0.7562588,4.399474,2.99927,98.2867373620214,0.23000927244000202,17.79375,4.39625,0.7274999999999999,3.0749999999999997,17.75625,38.5
7,889.2841,17.80116,1.002455,4.399671,3.99965,98.61182599919907,0.24771773265000263,17.84375,4.3950000000000005,0.973125,4.095,17.806250000000002,39.0
7,889.6006,17.84718,1.249178,4.399037,4.99989,98.65614327406485,0.2996035121100036,17.8875,4.39625,1.21875,5.11125,17.85,40.0
7,890.1285,17.89595,1.495662,4.399023,5.99989,98.60780769972095,0.372638261430005,17.94375,4.3950000000000005,1.46625,6.12,17.900000000000002,41.0
7,890.948,17.94544,1.742285,4.399122,6.99974,98.48602434513204,0.47336070212000436,17.9875,4.3950000000000005,1.71,7.14375,17.95,42.5
7,892.3791,17.99766,1.988618,4.399757,7.9996,98.33985268660442,0.5941745366799935,18.0375,4.39625,1.9537499999999999,8.16,18.0,44.5
7,892.4586999999999,18.04668,2.23538,4.399474,8.99959,98.14649650055975,0.7477253227400027,18.08125,4.3950000000000005,2.20125,9.157499999999999,18.05,46.5
7,893.7615,18.09887,2.481765,4.399744,10.0002,97.95440646114375,0.9188221567500108,18.1375,4.3975,2.446875,10.17375,18.10625,49.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
8,956.0229,17.66117,0.2642216,4.400272,0.99942,94.24097488096686,0.2687427530319999,17.70625,4.39625,0.23625,1.0574999999999999,17.66875,38.5
8,956.0229,17.70703,0.5108361,4.399571,1.99915,97.23629628961586,0.2499877831329993,17.743750000000002,4.3950000000000005,0.481875,2.0625,17.70625,38.5
8,955.6879,17.75577,0.7573019,4.399595,2.99927,98.13404629336965,0.2509050613129986,17.79375,4.39625,0.7274999999999999,3.0974999999999997,17.7625,39.0
8,956.7242,17.80476,1.003672,4.399671,3.99965,98.4723400172353,0.2729949635700031,17.84375,4.3950000000000005,0.975,4.0874999999999995,17.8125,39.5
8,956.7547,17.85423,1.250488,4.399792,5.00003,98.53354370304982,0.32740837048000415,17.89375,4.3950000000000005,1.2206249999999998,5.1075,17.8625,40.5
8,957.8544,17.90284,1.496965,4.399625,5.99989,98.49753743286989,0.40265883935000346,17.94375,4.3950000000000005,1.46625,6.135,17.90625,41.5
8,958.589,17.9525,1.743482,4.399602,6.99974,98.39043851383951,0.503790501520001,17.993750000000002,4.3950000000000005,1.71,7.14,17.962500000000002,43.0
8,958.589,18.00117,1.989822,4.39922,7.99974,98.25091231339051,0.6265078889399973,18.04375,4.3950000000000005,1.955625,8.1675,18.00625,45.0
8,960.338,18.05383,2.23663,4.399644,8.99959,98.0565855802115,0.7847456469400029,18.09375,4.3950000000000005,2.20125,9.161249999999999,18.0625,47.0
8,960.7994,18.106,2.482972,4.399769,10.0002,97.86879092698788,0.9581210782000085,18.150000000000002,4.39625,2.446875,10.188749999999999,18.1125,49.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
9,1032.6,17.66484,0.2655355,4.40046,0.999283,93.74633058711836,0.2933372516399997,17.70625,4.3950000000000005,0.24187499999999998,1.0425,17.66875,39.0
9,1032.0,17.71062,0.5120977,4.399556,1.99901,96.96996224013542,0.27481132801399966,17.75625,4.3950000000000005,0.485625,2.0625,17.71875,39.0
9,1033.3,17.75923,0.7587005,4.399341,2.99939,97.93232456683711,0.27859727862499994,17.8,4.3950000000000005,0.729375,3.0862499999999997,17.76875,39.5
9,1032.6,17.80845,1.005191,4.399207,3.99965,98.29279257149351,0.30560538640000345,17.85,4.3950000000000005,0.9768749999999999,4.0649999999999995,17.81875,40.0
9,1033.0,17.86042,1.251791,4.399775,5.00003,98.39648524961585,0.35850601897000445,17.90625,4.3950000000000005,1.2225,5.0737499999999995,17.868750000000002,41.0
9,1035.1,17.91008,1.498419,4.399623,5.99989,98.36213686483768,0.4395501220500009,17.95625,4.3950000000000005,1.46625,6.123749999999999,17.91875,42.0
9,1034.9,17.95954,1.744895,4.39932,6.99974,98.26592685682,0.5434153715000001,18.0,4.3950000000000005,1.711875,7.10625,17.962500000000002,43.5
9,1035.9,18.01188,1.991282,4.399575,7.99974,98.12841517981286,0.6712763196600093,18.05,4.39625,1.9575,8.15625,18.01875,45.5
9,1036.5,18.06436,2.238002,4.399753,8.99959,97.94177503635969,0.8321007074500031,18.1,4.3950000000000005,2.20125,9.13875,18.06875,47.5
9,1037.6,18.1167,2.484483,4.399574,10.0002,97.74716954645349,1.0140132513000069,18.150000000000002,4.3950000000000005,2.450625,10.188749999999999,18.125,50.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
10,1111.1,17.66828,0.2670104,4.400128,0.99942,93.21609292861866,0.32003858435199994,17.712500000000002,4.39625,0.24187499999999998,1.0687499999999999,17.66875,39.5
10,1111.1,17.71771,0.5137697,4.399647,1.99915,96.62447279838294,0.30726825133699975,17.75625,4.3950000000000005,0.485625,2.07375,17.725,39.5
10,1111.5,17.76641,0.7602515,4.398996,2.99939,97.68537327405035,0.3126352396749983,17.806250000000002,4.39375,0.73125,3.07875,17.76875,40.0
10,1112.1,17.81892,1.006621,4.399279,3.99965,98.09709127731108,0.3413228169699991,17.85625,4.39625,0.9768749999999999,4.109999999999999,17.825,40.5
10,1113.3,17.87111,1.253307,4.399412,5.00003,98.21057457643974,0.40079527841000484,17.90625,4.3950000000000005,1.2225,5.1075,17.88125,41.5
10,1113.3,17.92426,1.499703,4.399645,5.99989,98.2006649333503,0.48368045573000273,17.96875,4.3950000000000005,1.468125,6.12,17.931250000000002,42.5
10,1113.3,17.97649,1.746238,4.399557,6.99974,98.10305352644502,0.5954748294400005,18.01875,4.39625,1.711875,7.1362499999999995,17.98125,44.0
10,1115.8,18.029,1.992749,4.399367,7.9996,97.95671802328671,0.7340954678000031,18.06875,4.3950000000000005,1.9575,8.145,18.0375,46.0
10,1115.8,18.08487,2.239508,4.399748,8.99959,97.76480031755742,0.9052829406399923,18.125,4.3950000000000005,2.203125,9.17625,18.09375,48.5
